"k__Archaea;p__Crenarchaeota" "k__Archaea;p__Euryarchaeota" "k__Archaea;p__[Parvarchaeota]" "k__Bacteria;p__" "k__Bacteria;p__AD3" "k__Bacteria;p__Acidobacteria" "k__Bacteria;p__Actinobacteria" "k__Bacteria;p__AncK6" "k__Bacteria;p__Aquificae" "k__Bacteria;p__Armatimonadetes" "k__Bacteria;p__BHI80-139" "k__Bacteria;p__BRC1" "k__Bacteria;p__Bacteroidetes" "k__Bacteria;p__Caldithrix" "k__Bacteria;p__Chlamydiae" "k__Bacteria;p__Chlorobi" "k__Bacteria;p__Chloroflexi" "k__Bacteria;p__Cyanobacteria" "k__Bacteria;p__Deferribacteres" "k__Bacteria;p__Elusimicrobia" "k__Bacteria;p__FBP" "k__Bacteria;p__FCPU426" "k__Bacteria;p__Fibrobacteres" "k__Bacteria;p__Firmicutes" "k__Bacteria;p__Fusobacteria" "k__Bacteria;p__GAL15" "k__Bacteria;p__GN02" "k__Bacteria;p__GN04" "k__Bacteria;p__GOUTA4" "k__Bacteria;p__Gemmatimonadetes" "k__Bacteria;p__LD1" "k__Bacteria;p__Lentisphaerae" "k__Bacteria;p__MVP-21" "k__Bacteria;p__NC10" "k__Bacteria;p__NKB19" "k__Bacteria;p__Nitrospirae" "k__Bacteria;p__OD1" "k__Bacteria;p__OP1" "k__Bacteria;p__OP11" "k__Bacteria;p__OP3" "k__Bacteria;p__OP8" "k__Bacteria;p__OP9" "k__Bacteria;p__PAUC34f" "k__Bacteria;p__Planctomycetes" "k__Bacteria;p__Proteobacteria" "k__Bacteria;p__SAR406" "k__Bacteria;p__SBR1093" "k__Bacteria;p__SR1" "k__Bacteria;p__Spirochaetes" "k__Bacteria;p__Synergistetes" "k__Bacteria;p__TM6" "k__Bacteria;p__TM7" "k__Bacteria;p__TPD-58" "k__Bacteria;p__Tenericutes" "k__Bacteria;p__Thermotogae" "k__Bacteria;p__Verrucomicrobia" "k__Bacteria;p__WPS-2" "k__Bacteria;p__WS1" "k__Bacteria;p__WS2" "k__Bacteria;p__WS3" "k__Bacteria;p__WS4" "k__Bacteria;p__WWE1" "k__Bacteria;p__ZB3" "k__Bacteria;p__[Caldithrix]" "k__Bacteria;p__[Thermi]"
"10317.000004692" 0 0 0 0 0 0 0.00651885068925427 0 0 0 0 0 0.556261418369042 0 0 0 0 0.00946686596910812 0 0 0 0 0 0.416708188008637 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0102972928085036 0 0 0 0 0.000207606709848862 0 0 0 0.00016608536787909 0 0.000373692077727952 0 0 0 0 0 0 0 0 0
"10317.000023987" 0 0 0 0 0 0 0.00405529953917051 0 0 0 0 0 0.0405529953917051 0 0 0 0 0 0 0 0 0 0 0.0899539170506913 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.864884792626728 0 0 0 0 0 0 0 0 0 0 0.000552995391705069 0 0 0 0 0 0 0 0 0
"10317.000002951" 0 0 0 0 0 0 0.000263504611330698 0 0 0 0 0 0.396047430830039 0 0 0 0 0 0 0 0 0 0 0.123583662714097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0129117259552042 0 0 0 0 0 0 0 0 0 0 0.467193675889328 0 0 0 0 0 0 0 0 0
"10317.000022686" 0 0 0 0 0 0 0.501238475299298 0 0 0 0 0 0.352208614283749 0 0 0 0 0 0 0 0 0 0 0.144557589101417 6.88041832943443e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00178890876565295 0 0 0 0 0 0 0 0 0 0 0.000137608366588689 0 0 0 0 0 0 0 0 0
"10317.000035763" 0 0.000309693403530505 0 0 0 0 0.109012078042738 0 0 0 0 0 0.504180860947662 0 0 0 0 0 0 0 0 0 0 0.311551563951688 0.0105295757200372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0467637039331062 0 0 0 0.0170331371941778 0.000309693403530505 0 0 0 0 0 0.000309693403530505 0 0 0 0 0 0 0 0 0
"10317.000059165" 0 0 0 0 0 0 0.027550581145071 0 0 0 0 0 0.498923805424021 0 0 0 0 0 0 0 0 0 0 0.191993112354714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.264743865690917 0 0 0 0 0 0 0 0 0 0 0.0167886353852777 0 0 0 0 0 0 0 0 0
"10317.000066458" 0 0 0 0 0 0 0.00299319727891156 0 0 0 0 0 0.332517006802721 0 0 0 0 0 0 0 0 0 0 0.0772789115646258 0.00054421768707483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.585850340136055 0 0 0 0 0 0 0 0 0.00054421768707483 0 0.000272108843537415 0 0 0 0 0 0 0 0 0
"10317.000046568" 0 2.16680028601764e-05 0 0 0 0 0.0166843622023358 0 0 0 0 0 0.515785140083639 0 0 0 0 0 0 0 0 0 0 0.441052198218891 0.00112673614872917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0250265433035037 0 0 0 0 0 0 0 0 2.16680028601764e-05 0 0.000281684037182293 0 0 0 0 0 0 0 0 0
"10317.000021605" 0 0.00012758356723654 0 0 0 0 0.0054435655354257 0 0 0 0 0 0.339202177426214 0 0 0 0 8.50557114910266e-05 0 0 0 0 0 0.594029089053329 0.00012758356723654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00025516713447308 0 0 0 0 0 0 4.25278557455133e-05 0 4.25278557455133e-05 0 0.060644722293102 0 0 0 0 0 0 0 0 0
"10317.000067770" 0 0 0 0 0 0 0.00369970710652073 0 0 0 0 0 0.732773238785262 0 0 0 0 0 0 0 0 0 0 0.241380196290015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0139252864703767 0 0 0 0 0 0 0 0 0 0 0.00822157134782385 0 0 0 0 0 0 0 0 0
